字段描述	界面KEY	资源文件	界面分组	优先级	是否暂停被覆盖的界面	是否允许多开	是否锁定(锁定后常驻内存不卸载)	是否打开界面时刷新位置
	ZbProduceView	Assets/Shelter/Prefabs/UI/LFZbProduceView.prefab	Default	99	FALSE	FALSE	FALSE	FALSE
	TransportDetail	Assets/Shelter/Prefabs/UI/LFTransportDetail.prefab	Default	99	FALSE	FALSE	FALSE	FALSE
	EleAddResView	Assets/Shelter/Prefabs/UI/LFEleResView.prefab	Default	99	FALSE	FALSE	FALSE	FALSE
	LFBuildQueueView	Assets/Shelter/Prefabs/UI/BuildQueue/LFBuildQueueView.prefab	Default	99	FALSE	FALSE	FALSE	FALSE
	LFBuildAccView	Assets/Shelter/Prefabs/UI/BuildQueue/LFBuildAccView.prefab	Default	99	FALSE	FALSE	FALSE	FALSE
	LFViewBuildAcc	Assets/Shelter/Prefabs/UI2/BuildQueue/LFViewBuildAcc2.prefab	Default	99	FALSE	FALSE	FALSE	FALSE
	LFBuildQueueSelection	Assets/Shelter/Prefabs/UI/BuildQueue/LFBuildQueueSelection.prefab	Default	99	FALSE	FALSE	FALSE	FALSE
	LFMultipleBuildDialog	Assets/Shelter/Prefabs/UI/BuildQueue/LFMultipleBuildDialog.prefab	Default	99	FALSE	FALSE	FALSE	FALSE
	LFBagBoxSelectView	Assets/Shelter/Prefabs/UI/LFBagBoxSelectView.prefab	Default	99	FALSE	FALSE	FALSE	FALSE
	LFBagSelectRewardView	Assets/Shelter/Prefabs/LuaUI/Bag/LFBagSelectRewardView.prefab	Default	99	FALSE	FALSE	FALSE	FALSE
	LFWareHouseView	Assets/Shelter/Prefabs/UI/LFWareHouseView.prefab	Default	99	FALSE	FALSE	FALSE	FALSE
	LFWareHouseNewView	Assets/Shelter/Prefabs/UI/LFWareHouseNewView.prefab	Default	99	FALSE	FALSE	FALSE	FALSE
	LFWareHouseNewViewInWorld	Assets/Shelter/Prefabs/UI/LFWareHouseNewViewInWorld.prefab	Default	99	FALSE	FALSE	FALSE	FALSE
	LFWareHouseGround	Assets/Shelter/Prefabs/UI/LFWareHouseGround.prefab	Default	99	FALSE	FALSE	FALSE	FALSE
	LFWareHouseNewGround	Assets/Shelter/Prefabs/UI/LFWareHouseNewGround.prefab	Default	99	FALSE	FALSE	FALSE	FALSE
	LFWareHouseTips	Assets/Shelter/Prefabs/UI/LFWareHouseTip.prefab	Dialog	99	FALSE	FALSE	FALSE	FALSE
	RoomOperator2	Assets/Shelter/Prefabs/UI2/Room/LFRoomOperator2.prefab	Scene	99	FALSE	FALSE	FALSE	FALSE
	DiningMaterialPageView	Assets/Shelter/Prefabs/UI2/Room/LFRoomFoodWareHousePage.prefab	Default	99	FALSE	FALSE	FALSE	FALSE
	LFRoomBaseView	Assets/Shelter/Prefabs/UI2/Room/LFRoomBaseView.prefab	Default	99	FALSE	FALSE	FALSE	FALSE
	LFRoomDetailView	Assets/Shelter/Prefabs/UI2/Room/LFRoomDetailView.prefab	Default	99	FALSE	FALSE	FALSE	FALSE
	LFRoomUpgradePage	Assets/Shelter/Prefabs/UI2/Room/LFRoomUpgradePage.prefab	Default	99	FALSE	FALSE	FALSE	FALSE
	LFRoomProducePage	Assets/Shelter/Prefabs/UI2/Room/LFRoomProducePage.prefab	Default	99	FALSE	FALSE	FALSE	FALSE
	LFRoomStationPage	Assets/Shelter/Prefabs/UI2/Room/LFRoomStationPage2.prefab	Default	99	FALSE	FALSE	FALSE	FALSE
急速界面	LFRoomFastProducePage	Assets/Shelter/Prefabs/UI2/Room/LFRoomFastProducePage2.prefab	Default	99	FALSE	FALSE	FALSE	FALSE
	LFRoomSelectWorkerPage	Assets/Shelter/Prefabs/UI2/Room/LFRoomSelectWorkerPage.prefab	Default	99	FALSE	FALSE	FALSE	FALSE
	LFRoomBuildFixedPosPage	Assets/Shelter/Prefabs/UI2/Room/LFRoomBuildFixedPosPage.prefab	Default	99	FALSE	FALSE	FALSE	FALSE
	BagView	Assets/Shelter/Prefabs/UI2/UIBag.prefab	Default	99	FALSE	FALSE	FALSE	FALSE
	ViewMinepit	Assets/Shelter/Prefabs/UI2/LFMinepitView2.prefab	Default	99	FALSE	FALSE	FALSE	FALSE
	QueueListView	Assets/Shelter/Prefabs/UI/LFQueueListView.prefab	Default	99	FALSE	FALSE	FALSE	FALSE
	RoomEditOperation	Assets/Shelter/Prefabs/UI/LFEditOperation.prefab	Default	99	FALSE	FALSE	FALSE	FALSE
	ScienceCenter	Assets/Shelter/Prefabs/UI2/Science/LFScienceCenter2.prefab	Default	99	FALSE	FALSE	FALSE	FALSE
	ScienceTree	Assets/Shelter/Prefabs/UI/Science/LFScienceTree.prefab	Default	99	FALSE	FALSE	FALSE	FALSE
	ScienceUpgrade	Assets/Shelter/Prefabs/UI/Science/LFScienceUpgradeNew.prefab	Default	99	FALSE	FALSE	FALSE	FALSE
	ScienceDetail	Assets/Shelter/Prefabs/UI/Science/LFScienceDetail.prefab	Default	99	FALSE	FALSE	FALSE	FALSE
	LFScienceTreeUnlockView	Assets/Shelter/Prefabs/UI/Science/LFScienceTreeUnlockView.prefab	Default	99	FALSE	FALSE	FALSE	FALSE
	LFSciencLevelUpTips	Assets/Shelter/Prefabs/UI/Science/LFScienceLevelUpTips.prefab	Dialog	99	FALSE	FALSE	FALSE	FALSE
	MarmotPageView	Assets/Shelter/Prefabs/UI/LFMarmotGenPage.prefab	Default	99	FALSE	FALSE	FALSE	FALSE
	StationView	Assets/Shelter/Prefabs/UI/LFStationView.prefab	Default	99	FALSE	FALSE	FALSE	FALSE
	RoomStationView	Assets/Shelter/Prefabs/UI2/RoomStationView2.prefab	Default	99	FALSE	FALSE	FALSE	FALSE
	LFDormitoryView	Assets/Shelter/Prefabs/UI/Room/LFDormitoryView.prefab	Default	99	FALSE	FALSE	FALSE	FALSE
	LFDormitoryDetail	Assets/Shelter/Prefabs/UI/Room/LFDormitoryDetail.prefab	Default	99	FALSE	FALSE	FALSE	FALSE
	LFWorkManagementView	Assets/Shelter/Prefabs/UI2/LFWorkManagementView2.prefab	Default	99	FALSE	FALSE	FALSE	FALSE
	EditCityView	Assets/Shelter/Prefabs/UI/LFEditCityView.prefab	Default	99	FALSE	FALSE	FALSE	FALSE
	LFAccPropView	Assets/Shelter/Prefabs/UI/LFAccPropView.prefab	Default	99	FALSE	FALSE	FALSE	FALSE
	LFAccPropCell	Assets/Shelter/Prefabs/UI/LFAccPropCell.prefab	Default	99	FALSE	FALSE	FALSE	FALSE
	LFMsgBallView1	Assets/Shelter/Prefabs/UI2/LFMsgBallView3d2.prefab	Dialog	99	FALSE	FALSE	FALSE	FALSE
	LFViewSoldierTrain	Assets/Shelter/Prefabs/UI/LFViewSoldierTrain.prefab	Default	99	FALSE	FALSE	FALSE	FALSE
	RoomBubble	Assets/Shelter/Prefabs/Room/RoomBubble.prefab	Default	99	FALSE	FALSE	FALSE	FALSE
	RoomRoughCanvas	Assets/Shelter/Prefabs/Room/RoomRoughCanvas.prefab	Default	99	FALSE	FALSE	FALSE	FALSE
	CultivationView	Assets/Shelter/Prefabs/UI/LFCultivationView.prefab	Default	99	FALSE	FALSE	FALSE	FALSE
	ViewMedicalDepartment	Assets/Shelter/Prefabs/UI/LFViewMedicalDepartment.prefab	Default	99	FALSE	FALSE	FALSE	FALSE
	ViewHospital	Assets/Shelter/Prefabs/UI2/Hospital/LFViewHospital2.prefab	Default	99	FALSE	FALSE	FALSE	FALSE
	LFViewHospitalPharmaceutical	Assets/Shelter/Prefabs/UI2/Hospital/LFViewHospitalPharmaceutical2.prefab	Default	99	FALSE	FALSE	FALSE	FALSE
	LFViewHospitalUse	Assets/Shelter/Prefabs/UI2/Hospital/LFViewHospitalUse2.prefab	Default	99	FALSE	FALSE	FALSE	FALSE
	SkillInfoView	Assets/Shelter/Prefabs/UI/LFSkillInfoView.prefab	Default	99	FALSE	FALSE	FALSE	FALSE
	ViewTask	Assets/Shelter/Prefabs/UI/LFViewTaskBook.prefab	Default	99	FALSE	FALSE	FALSE	FALSE
	ViewTaskReward	Assets/Shelter/Prefabs/UI/LFViewTaskReward.prefab	Default	99	FALSE	FALSE	FALSE	FALSE
	UITaskAchievement	Assets/Shelter/Prefabs/UI2/UITaskAchievement.prefab	Default	99	FALSE	FALSE	FALSE	FALSE
	LFRewardTipTask	Assets/Shelter/Prefabs/UI/LFRewardTipTask.prefab	Default	99	FALSE	FALSE	FALSE	FALSE
	ViewGuide	Assets/Shelter/Prefabs/UI/LFViewGuide.prefab	Default	99	FALSE	FALSE	FALSE	FALSE
	LFChatView	Assets/Shelter/Prefabs/LuaUI/Chat/LuaLFChatView2.prefab	UIResource	99	FALSE	FALSE	FALSE	FALSE
	LFChatCreateRoomView	Assets/Shelter/Prefabs/LuaUI/Chat/LuaLFChatCreateRoomView.prefab	Default	99	FALSE	FALSE	FALSE	FALSE
	LFChatSettingRoomView	Assets/Shelter/Prefabs/LuaUI/Chat/LuaLFChatSettingRoomView.prefab	Default	99	FALSE	FALSE	FALSE	FALSE
	LFChatCommanderTips	Assets/Shelter/Prefabs/LuaUI/Chat/LFChatCommanderTips.prefab	Default	99	FALSE	FALSE	FALSE	FALSE
	LFHeroAccelerateInfoTips	Assets/Shelter/Prefabs/UI/Hero/LFHeroAccelerateInfoTips.prefab	Default	99	FALSE	FALSE	FALSE	FALSE
	LFHeroListView	Assets/Shelter/Prefabs/UI/Hero/LFHeroListView.prefab	Default	99	FALSE	FALSE	FALSE	FALSE
	LFHeroListInfoView	Assets/Shelter/Prefabs/UI/Hero/LFHeroListInfoView.prefab	Default	99	FALSE	FALSE	FALSE	FALSE
	LFHeroSkillUpSucView	Assets/Shelter/Prefabs/UI/Hero/LFHeroSkillUpSucView.prefab	Default	99	FALSE	FALSE	FALSE	FALSE
	LFHeroAdvanceView	Assets/Shelter/Prefabs/UI2/Hero/LFHeroAdvanceView2.prefab	Default	99	FALSE	FALSE	FALSE	FALSE
	LFHeroAdvancePreview	Assets/Shelter/Prefabs/UI2/Hero/LFHeroAdvancePreview2.prefab	Default	99	FALSE	FALSE	FALSE	FALSE
	LFHeroAdvanceSuccess	Assets/Shelter/Prefabs/UI/Hero/LFHeroAdvanceSuccess.prefab	Default	99	FALSE	FALSE	FALSE	FALSE
	LFHeroItemTips	Assets/Shelter/Prefabs/UI/Hero/LFHeroItemTips.prefab	Dialog	99	FALSE	FALSE	FALSE	TRUE
	LFHeroResetSuccess	Assets/Shelter/Prefabs/UI/Hero/LFHeroResetSuccess.prefab	Default	99	FALSE	FALSE	FALSE	FALSE
	HeroInfoView	Assets/Shelter/Prefabs/UI2/Hero/LFHeroicSatietyTips2.prefab	Default	99	FALSE	FALSE	FALSE	FALSE
	LFHeroJigsawResultTips	Assets/Shelter/Prefabs/UI/Hero/LFHeroJigsawResultTips.prefab	Dialog	99	FALSE	FALSE	FALSE	FALSE
	LFHeroAdvanceAllView	Assets/Shelter/Prefabs/UI2/Hero/LFHeroAdvanceAllView2.prefab	Default	99	FALSE	FALSE	FALSE	FALSE
	LFHeroAdvanceAllResultTips	Assets/Shelter/Prefabs/UI/Hero/LFHeroAdvanceAllResultTips.prefab	Default	99	FALSE	FALSE	FALSE	FALSE
招募	LFRecruitCampChangeView	Assets/Shelter/Prefabs/UI2/Recruit/LFRecruitCampChangeView2.prefab	UIResource	99	FALSE	FALSE	FALSE	FALSE
招募	LFRecruitViewNew	Assets/Shelter/Prefabs/UI2/Recruit/LFRecruitViewNew2.prefab	Default	99	FALSE	FALSE	FALSE	FALSE
招募	LFRecruitRewardNewView	Assets/Shelter/Prefabs/UI2/Recruit/LFRecruitRewardNewView2.prefab	Default	99	FALSE	FALSE	FALSE	FALSE
	LFExchangeUpSkillItemView	Assets/Shelter/Prefabs/UI/Gift/LFExchangeUpSkillItemView.prefab	Default	99	FALSE	FALSE	FALSE	FALSE
	ExchangeResDialog	Assets/Shelter/Prefabs/UI2/LFExchangeResDialog1.prefab	Default	99	FALSE	FALSE	FALSE	FALSE
	LFNewHero	Assets/Shelter/Prefabs/UI/LFNewHero.prefab	Default	99	FALSE	FALSE	FALSE	FALSE
	LFCriticalLog	Assets/Shelter/Prefabs/UI/LFCriticalLog.prefab	Default	99	FALSE	FALSE	FALSE	FALSE
	LFSetLanguageView	Assets/Shelter/Prefabs/UI2/Personal/LFSetLanguageView2.prefab	Default	99	FALSE	FALSE	FALSE	FALSE
	LFChangeUidView	Assets/Main/Prefabs/Debug/UIChangeUid.prefab	Default	99	FALSE	FALSE	FALSE	FALSE
	LFTestSettingsView	Assets/Shelter/Prefabs/UI/LFSettings.prefab	Dialog	99	FALSE	FALSE	FALSE	FALSE
	LFUIDetailsView	Assets/Shelter/Prefabs/UI/LFUIDetailsView.prefab	Scene	99	FALSE	FALSE	FALSE	FALSE
	LFDigingTip	Assets/Shelter/Prefabs/UI/LFDigingTip.prefab	Default	99	FALSE	FALSE	FALSE	FALSE
	LFTreasureResultTips	Assets/Shelter/Prefabs/UI2/LFTreasureResultTips2.prefab	Dialog	99	FALSE	FALSE	FALSE	FALSE
	LFRobotRewardView	Assets/Shelter/Prefabs/UI/LFRobotRewardView.prefab	Dialog	99	FALSE	FALSE	FALSE	FALSE
	LFViewDetailSoldier	Assets/Shelter/Prefabs/UI/LFViewDetailSoldier.prefab	Default	99	FALSE	FALSE	FALSE	FALSE
	ViewPickTip	Assets/Shelter/Prefabs/UI/LFViewPickTip.prefab	Scene	99	FALSE	FALSE	FALSE	FALSE
	MarmotPickTip	Assets/Shelter/Prefabs/UI/LFMarmotPickTip.prefab	Scene	99	FALSE	FALSE	FALSE	FALSE
直升机界面	ViewTradingCenter	Assets/Shelter/Prefabs/UI2/Trading/LFViewTradingCenter2.prefab	Default	99	FALSE	FALSE	FALSE	FALSE
	LFViewTradingLevelPanel	Assets/Shelter/Prefabs/UI2/Trading/LFViewTradingLevelPanel.prefab	Default	99	FALSE	FALSE	FALSE	FALSE
	LFViewTradingLevelMenuItem	Assets/Shelter/Prefabs/UI2/Trading/LFViewTradingLevelMenuItem.prefab	Default	99	FALSE	FALSE	FALSE	FALSE
	ViewDetailTrading	Assets/Shelter/Prefabs/UI/LFViewDetailTrading.prefab	Default	99	FALSE	FALSE	FALSE	FALSE
	PVEUIMain	Assets/Shelter/Prefabs/UI2/PVE/PVEUIMain.prefab	Scene	99	FALSE	FALSE	FALSE	FALSE
	LFCloudView	Assets/Shelter/Prefabs/UI/LFCloudView.prefab	Default	99	FALSE	FALSE	FALSE	FALSE
	LFPVEHookRewardTips	Assets/Shelter/Prefabs/UI2/PVE/LFPVEHookReward.prefab	Default	99	FALSE	FALSE	FALSE	FALSE
	LFPVEBattleResultTips	Assets/Shelter/Prefabs/UI2/PVE/LFPVEBattleResultTips.prefab	Default	99	FALSE	FALSE	FALSE	FALSE
	LFPVEBattleDamageItem	Assets/Shelter/Prefabs/PVE/LFPVEBattleDamageItem.prefab	Default	99	FALSE	FALSE	FALSE	FALSE
	LFPVEBattleDamageTips	Assets/Shelter/Prefabs/UI2/PVE/LFPVEBattleDamageTips.prefab	Default	99	FALSE	FALSE	FALSE	FALSE
	LFPVEBattleBub	Assets/Shelter/Prefabs/UI2/PVE/LFPVEBattleBub.prefab	Default	99	FALSE	FALSE	FALSE	FALSE
	LFPVECampRestraintTips	Assets/Shelter/Prefabs/PVE/LFCampRestraintTips.prefab	Default	99	FALSE	FALSE	FALSE	FALSE
	LFPVECampAddEffectTips	Assets/Shelter/Prefabs/UI2/PVE/LFCampNumTips.prefab	Default	99	FALSE	FALSE	FALSE	FALSE
	LFPVEEnemyPreviewTip	Assets/Shelter/Prefabs/UI2/PVE/LFPVEEnemyPreviewTip.prefab	Default	99	FALSE	FALSE	FALSE	FALSE
	LFPVESceneDescriptionTips	Assets/Shelter/Prefabs/UI2/PVE/LFSceneDescriptionTips.prefab	Default	99	FALSE	FALSE	FALSE	FALSE
	LFPVERecruitDescriptionTips	Assets/Shelter/Prefabs/PVE/LFRecruitDescriptionTips.prefab	Default	99	FALSE	FALSE	FALSE	FALSE
	LFPVEPauseView	Assets/Shelter/Prefabs/UI2/PVE/LFPVEPauseView.prefab	Default	99	FALSE	FALSE	FALSE	FALSE
	LFPVELineUpView	Assets/Shelter/Prefabs/UI2/PVE/UIPVELineUpView.prefab	UIResourcePopUp	99	FALSE	FALSE	FALSE	FALSE
	LFUploadAvator	Assets/Shelter/Prefabs/UI/Personal/LFUploadAvator.prefab	Default	99	FALSE	FALSE	FALSE	FALSE
	LFAccountList	Assets/Shelter/Prefabs/UI/LFAccountList.prefab	Loading	99	FALSE	FALSE	FALSE	FALSE
	LFDisconnectView	Assets/Shelter/Prefabs/UI/Scene/DisconnectView.prefab	Loading	99	FALSE	FALSE	FALSE	FALSE
	WorldWarUIMain	Assets/Shelter/Prefabs/WorldWar/WorldWarUIMain.prefab	Default	99	FALSE	FALSE	FALSE	FALSE
	LFChangeNickname	Assets/Shelter/Prefabs/UI/LFChangeNickname.prefab	Default	99	FALSE	FALSE	FALSE	FALSE
	LFSoliderTrainView	Assets/Shelter/Prefabs/UI2/Solider/LFSoliderTrainView1.prefab	Default	99	FALSE	FALSE	FALSE	FALSE
	LFViewSoliderAcc	Assets/Shelter/Prefabs/UI2/Solider/LFViewSoliderAcc.prefab	Default	99	FALSE	FALSE	FALSE	FALSE
	LFCommonHand	Assets/Shelter/Prefabs/UI/Common/LFCommonHand.prefab	Default	99	FALSE	FALSE	FALSE	FALSE
	LFCommonHandDouble	Assets/Shelter/Prefabs/UI/Common/LFCommonHandDouble.prefab	Default	99	FALSE	FALSE	FALSE	FALSE
	RoomStation	Assets/Shelter/Prefabs/Room/RoomStation.prefab	Default	99	FALSE	FALSE	FALSE	FALSE
士兵等级升级解锁界面	LFSoliderUnlockForm	Assets/Shelter/Prefabs/UI/LFSoliderUnlockForm.prefab	Default	99	FALSE	FALSE	FALSE	FALSE
	AddResPanel	Assets/Shelter/Prefabs/UI2/AddResPanel.prefab	Default	99	FALSE	FALSE	FALSE	FALSE
	AddResItem	Assets/Shelter/Prefabs/UI/AddResItem.prefab	Default	99	FALSE	FALSE	FALSE	FALSE
	LFTransitionView	Assets/Shelter/Prefabs/UI/LFTransitionView.prefab	Default	99	FALSE	FALSE	FALSE	FALSE
